Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 2.00 ms | MediaPipe: 62.07 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 42.20 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 47.32 ms | Show: 0.00 ms
Capture: 3.27 ms | MediaPipe: 83.51 ms | Show: 0.00 ms
Capture: 2.13 ms | MediaPipe: 103.77 ms | Show: 0.00 ms

FPS: 17 | Hand FPS: 2 | No-Hand FPS: 15

Capture: 2.00 ms | MediaPipe: 73.46 ms | Show: 0.00 ms
Capture: 1.75 ms | MediaPipe: 85.40 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 62.09 ms | Show: 0.00 ms
Capture: 1.92 ms | MediaPipe: 60.20 ms | Show: 0.00 ms
Capture: 3.73 ms | MediaPipe: 57.13 ms | Show: 0.00 ms
Capture: 3.01 ms | MediaPipe: 90.91 ms | Show: 0.00 ms
Capture: 1.43 ms | MediaPipe: 65.01 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 75.69 ms | Show: 0.00 ms
Capture: 2.12 ms | MediaPipe: 74.51 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 69.96 ms | Show: 0.00 ms
Capture: 2.26 ms | MediaPipe: 63.24 ms | Show: 2.02 ms
Capture: 3.08 ms | MediaPipe: 70.43 ms | Show: 0.00 ms
Capture: 1.94 ms | MediaPipe: 71.02 ms | Show: 0.00 ms

FPS: 13 | Hand FPS: 13 | No-Hand FPS: 0

Capture: 1.98 ms | MediaPipe: 80.24 ms | Show: 0.00 ms
Capture: 2.02 ms | MediaPipe: 74.66 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 59.48 ms | Show: 0.00 ms
Capture: 2.01 ms | MediaPipe: 59.26 ms | Show: 0.00 ms
Capture: 3.00 ms | MediaPipe: 57.65 ms | Show: 0.00 ms
Capture: 2.99 ms | MediaPipe: 68.42 ms | Show: 0.00 ms
Capture: 3.55 ms | MediaPipe: 88.98 ms | Show: 0.99 ms
Capture: 12.97 ms | MediaPipe: 119.49 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 122.28 ms | Show: 0.00 ms
Capture: 5.01 ms | MediaPipe: 114.09 ms | Show: 0.00 ms
Capture: 1.97 ms | MediaPipe: 123.36 ms | Show: 0.99 ms

FPS: 11 | Hand FPS: 11 | No-Hand FPS: 0

Capture: 2.00 ms | MediaPipe: 115.15 ms | Show: 0.00 ms
Capture: 3.17 ms | MediaPipe: 105.33 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 86.35 ms | Show: 1.01 ms
Capture: 3.49 ms | MediaPipe: 127.05 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 94.84 ms | Show: 0.00 ms
Capture: 2.66 ms | MediaPipe: 95.84 ms | Show: 0.00 ms
Capture: 1.75 ms | MediaPipe: 72.73 ms | Show: 0.00 ms
Capture: 2.05 ms | MediaPipe: 80.92 ms | Show: 0.00 ms
Capture: 1.99 ms | MediaPipe: 68.64 ms | Show: 0.00 ms
Capture: 5.19 ms | MediaPipe: 75.65 ms | Show: 0.99 ms

FPS: 10 | Hand FPS: 10 | No-Hand FPS: 0

Capture: 2.00 ms | MediaPipe: 83.92 ms | Show: 0.00 ms
Capture: 4.78 ms | MediaPipe: 78.92 ms | Show: 0.00 ms
Capture: 2.46 ms | MediaPipe: 87.59 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 104.84 ms | Show: 1.01 ms
Capture: 2.00 ms | MediaPipe: 82.52 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 86.25 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 112.96 ms | Show: 0.00 ms
Capture: 5.02 ms | MediaPipe: 89.98 ms | Show: 0.00 ms
Capture: 3.55 ms | MediaPipe: 71.98 ms | Show: 0.00 ms
Capture: 2.00 ms | MediaPipe: 82.48 ms | Show: 1.00 ms

FPS: 10 | Hand FPS: 10 | No-Hand FPS: 0

Capture: 2.00 ms | MediaPipe: 80.93 ms | Show: 0.00 ms
Capture: 2.02 ms | MediaPipe: 60.81 ms | Show: 0.00 ms
Capture: 1.97 ms | MediaPipe: 172.15 ms | Show: 0.00 ms
