Connected to ESP32-CAM at http://192.168.128.66:81/stream. Press 'q' to quit.
Capture: 0.00 ms | MediaPipe: 29.39 ms | Show: 0.00 ms
Capture: 0.22 ms | MediaPipe: 35.18 ms | Show: 0.00 ms
Capture: 1.08 ms | MediaPipe: 51.52 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 44.32 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 38.27 ms | Show: 0.00 ms
Capture: 0.22 ms | MediaPipe: 30.39 ms | Show: 0.00 ms
Capture: 0.53 ms | MediaPipe: 37.22 ms | Show: 0.00 ms
Capture: 1.04 ms | MediaPipe: 28.56 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 33.17 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 30.79 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 31.75 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 26.03 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 38.08 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 35.31 ms | Show: 0.00 ms
Capture: 0.37 ms | MediaPipe: 66.27 ms | Show: 0.00 ms
Capture: 0.55 ms | MediaPipe: 27.54 ms | Show: 0.00 ms
Capture: 0.21 ms | MediaPipe: 52.75 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 45.52 ms | Show: 0.00 ms
Capture: 0.42 ms | MediaPipe: 58.65 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 34.38 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 59.58 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 71.22 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 63.68 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 74.43 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 38.33 ms | Show: 0.00 ms
Capture: 0.63 ms | MediaPipe: 40.12 ms | Show: 0.00 ms
Capture: 0.98 ms | MediaPipe: 33.17 ms | Show: 0.00 ms
Capture: 1.02 ms | MediaPipe: 32.84 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 32.18 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 46.29 ms | Show: 1.01 ms
Capture: 0.00 ms | MediaPipe: 37.62 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 39.74 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 38.62 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 50.36 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 56.97 ms | Show: 2.02 ms
Capture: 0.00 ms | MediaPipe: 36.67 ms | Show: 1.01 ms
Capture: 0.62 ms | MediaPipe: 30.07 ms | Show: 1.01 ms
Capture: 0.00 ms | MediaPipe: 30.64 ms | Show: 1.00 ms
Capture: 0.00 ms | MediaPipe: 26.05 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 27.81 ms | Show: 0.00 ms
Capture: 1.00 ms | MediaPipe: 35.13 ms | Show: 0.99 ms
Capture: 0.99 ms | MediaPipe: 33.40 ms | Show: 0.00 ms
Capture: 0.12 ms | MediaPipe: 32.17 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 21.74 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 27.81 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 24.85 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 32.31 ms | Show: 0.00 ms
Capture: 0.97 ms | MediaPipe: 54.37 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 39.57 ms | Show: 5.05 ms
Capture: 1.03 ms | MediaPipe: 34.32 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 32.82 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 35.68 ms | Show: 1.02 ms
Capture: 1.04 ms | MediaPipe: 35.05 ms | Show: 0.00 ms
Capture: 0.40 ms | MediaPipe: 27.46 ms | Show: 1.00 ms
Capture: 1.00 ms | MediaPipe: 30.29 ms | Show: 0.00 ms
Capture: 0.50 ms | MediaPipe: 28.57 ms | Show: 0.00 ms
Capture: 0.99 ms | MediaPipe: 29.46 ms | Show: 1.00 ms
Capture: 1.04 ms | MediaPipe: 31.40 ms | Show: 0.00 ms
Capture: 0.39 ms | MediaPipe: 35.54 ms | Show: 2.58 ms
Capture: 0.00 ms | MediaPipe: 29.45 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 34.27 ms | Show: 0.53 ms
Capture: 1.00 ms | MediaPipe: 36.81 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 36.35 ms | Show: 1.00 ms
Capture: 1.01 ms | MediaPipe: 36.14 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 41.14 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 33.67 ms | Show: 0.00 ms
Capture: 0.13 ms | MediaPipe: 38.54 ms | Show: 0.00 ms
Capture: 1.01 ms | MediaPipe: 42.63 ms | Show: 1.06 ms
Capture: 0.00 ms | MediaPipe: 43.22 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 40.29 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 49.30 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 58.98 ms | Show: 0.00 ms
Capture: 0.00 ms | MediaPipe: 49.11 ms | Show: 0.00 ms
